subject_uri,subject_name,nodeid,browseName,label,synonyms,entity_types
https://w3id.org/saref/GetSensingDataCommand,GetSensingDataCommand,<None>,<None>,GetSensingDataCommand,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/Measurement,Measurement,<None>,<None>,Measurement,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/Power,Power,<None>,<None>,Power,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/Profile,Profile,<None>,<None>,Profile,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/SensingFunction,SensingFunction,<None>,<None>,Sensing_function,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/Sensor,Sensor,<None>,<None>,Sensor,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/StartState,StartState,<None>,<None>,StartState,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/StartStopState,StartStopState,<None>,<None>,StartStopState,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/State,State,<None>,<None>,State,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/TemperatureSensor,TemperatureSensor,<None>,<None>,Temperature_sensor,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/Observation,Observation,<None>,<None>,Observation,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4bldg/BuildingSpace,BuildingSpace,<None>,<None>,Building_space,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/AlternativesGroup,AlternativesGroup,<None>,<None>,Alternatives_group,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/FillLevelTargetProfile,FillLevelTargetProfile,<None>,<None>,Fill_level_target_profile,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/FillLevelTargetProfileElement,FillLevelTargetProfileElement,<None>,<None>,Fill_level_target_profile_element,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/FillRateProfile,FillRateProfile,<None>,<None>,Fill_rate_control,<None>,http://www.w3.org/2002/07/owl/Class
